No.,Jenis Perkara,Usia Penggugat,Usia Tergugat,Pendidikan Terakhir Penggugat,Pendidikan Terakhir Tergugat,Pekerjaan Penggugat,Pekerjaan tergugat,Usia Pernikahan,jumlah anak,Alasan Perceraian,Hasil putusan perkara,,,,,
106,CG,34,39,SD,SMP,t.a,Juru Parkir,13,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
107,CG,41,39,SMP,SD,t.a,t.a,12,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
108,CG,53,51,SD,SD,t.a,Petani,33,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
109,CG,34,27,SD,SMA,t.a,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
110,CG,33,33,SMP,SMA,Buruh Harian,t.a,8,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
111,CG,35,44,SD,SD,t.a,Buruh Bangunan,14,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
112,CG,42,50,SMA,SMA,Karyawan,Karyawan,21,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
113,CG,22,33,SMA,SMA,t.a,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
114,CG,37,34,SD,SD,t.a,Petani,8,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
115,CT,32,24,SMA,SMA,Karyawan,t.a,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
116,CG,23,40,SD,SMP,Karyawan,Buruh Bangunan,7,1,Mabuk,Tidak Cerai,,,,,
117,CG,51,49,tdk,S1,t.a,PNS,23,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
118,CG,31,45,SD,SD,Karyawan,Nelayan,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
119,CT,54,43,S1,SMA,t.a,t.a,18,3,Meninggalkan Salah Satu Pihak,Cerai,,,,,
120,CG,31,29,SMP,SD,t.a,Nelayan,8,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
121,CG,29,54,SD,SD,t.a,Petani,10,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
122,CT,40,38,SMA,SMP,t.a,Karyawan,20,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
123,CG,26,26,SD,SD,t.a,Nelayan,7,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
124,CG,22,32,SMA,SMA,Karyawan,Supir,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
