No.,Jenis Perkara,Usia Penggugat,Usia Tergugat,Pendidikan Terakhir Penggugat,Pendidikan Terakhir Tergugat,Pekerjaan Penggugat,Pekerjaan tergugat,Usia Pernikahan,jumlah anak,Alasan Perceraian,Hasil putusan perkara
3789,CG,24,28,SMA,SMA,Penyanyi Electone,Pemain Alat Musik Electone,1,0,Perselisihan dan pertengkaran terus menerus,Cerai
3790,CG,36,41,D3,SD,t.a,t.a,6,0,Perselisihan dan pertengkaran terus menerus,Cerai
3791,CT,33,42,SD,SD,Nelayan,t.a,11,0,Meninggalkan Salah Satu Pihak,Cerai
3792,CG,27,27,D3,SMA,Pengusaha,POLRI,1,0,Perselisihan dan pertengkaran terus menerus,Tidak Cerai
3793,CT,39,37,SMP,SD,Nelayan,t.a,15,2,Meninggalkan Salah Satu Pihak,Cerai
3794,CG,29,27,S1,SD,Wiraswasta,Petani,3,0,Meninggalkan Salah Satu Pihak,Cerai
3795,CG,39,38,SD,SD,t.a,t.a,21,5,Perselisihan dan pertengkaran terus menerus,Tidak Cerai
3796,CG,22,26,S1,SMA,t.a,t.a,1,0,Perselisihan dan pertengkaran terus menerus,Cerai
3797,CG,37,45,SD,SD,t.a,Petani,10,2,Meninggalkan Salah Satu Pihak,Cerai
3798,CG,29,35,SMA,SMP,t.a,Buruh Harian,2,1,Perselisihan dan pertengkaran terus menerus,Cerai
3799,CG,33,43,SMP,SD,t.a,Buruh Harian,16,2,Meninggalkan Salah Satu Pihak,Cerai
3800,CG,24,39,SD,SD,t.a,Petani,9,2,Meninggalkan Salah Satu Pihak,Cerai
3801,CG,33,35,SMA,SMA,Penjual,Rental Mobil,15,3,Perselisihan dan pertengkaran terus menerus,Cerai
3802,CG,27,38,SMP,SMP,t.a,Wiraswasta,11,1,perselisihan dan pertengkaran terus menerus,Cerai
3803,CG,31,30,D3,D3,Honorer,Honorer,4,0,Perselisihan dan pertengkaran terus menerus,Cerai
3804,CG,43,46,SD,SD,t.a,Petani,28,1,Perselisihan dan pertengkaran terus menerus,Cerai
3805,CG,22,33,SD,SD,t.a,Buruh Harian,7,1,Perselisihan dan pertengkaran terus menerus,Cerai
3806,CG,28,36,S1,SMA,t.a,Karyawan,7,1,Perselisihan dan pertengkaran terus menerus,Cerai
3807,CG,42,57,SD,SD,t.a,Petani,6,0,Meninggalkan Salah Satu Pihak,Cerai
3808,CT,41,34,SMA,SMA,Karyawan Bank,t.a,14,0,Meninggalkan Salah Satu Pihak,Cerai
3809,CT,39,33,SMA,SMA,Karyawan PDAM,t.a,4,2,Perselisihan dan pertengkaran terus menerus,Tidak Cerai
